### Module positions - created on 2025-09-24 14:00
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 75.050mm, Pcb Width 100.050mm [based on Edge bounding box]
## Side : bottom
## Board Aux Origin: 101.010mm ,143.360mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
FID9          Fiducial            Fiducial_1mm_Mask2mm          86.5900    23.9600    0.0000     0.0000       18.0    bottom    VIRTUAL
l3            OSHW-Logo2_24.3x2.. OSHW-Logo2_24.3x20mm_SilkSc.. 47.3300    38.6726    0.0000     0.0000       18.0    bottom    VIRTUAL
TP16          TestPoint           TestPoint_Pad_D1.0mm          34.7600    16.8900    34.7600    -269.8300    18.0    bottom    VIRTUAL
FID6          Fiducial            Fiducial_1mm_Mask2mm          68.1500    63.0600    0.0000     0.0000       18.0    bottom    VIRTUAL
REF**         Polarity_Center_N.. Polarity_Center_Negative_6m.. 16.7364    -0.4500    0.0000     0.0000        0.0    bottom    VIRTUAL
FID10         Fiducial            Fiducial_1mm_Mask2mm          7.4900     0.5600     0.0000     0.0000       18.0    bottom    VIRTUAL
l5            Symbol_CreativeCo.. Symbol_CreativeCommonsPubli.. 2.5950     68.9200    0.0000     0.0000       18.0    bottom    VIRTUAL
l4            KiCad-Logo2_5mm_S.. KiCad-Logo2_5mm_SilkScreen    0.6850     11.4650    0.0000     0.0000        9.0    bottom    VIRTUAL
FID8          Fiducial            Fiducial_1mm_Mask2mm          65.6900    27.7600    0.0000     0.0000       18.0    bottom    VIRTUAL
## End
