### Module positions - created on 2025-09-24 14:00
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 75.050mm, Pcb Width 100.050mm [based on Edge bounding box]
## Side : top
## Board Aux Origin: 101.010mm ,143.360mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
FID7          Fiducial            Fiducial_1mm_Mask2mm          90.6800    42.4100    0.0000     0.0000        0.0    top       VIRTUAL
TP13          TestPoint           TestPoint_Pad_D1.0mm          27.4186    16.3032    27.4186    -270.4168     0.0    top       VIRTUAL
TP11          TestPoint           TestPoint_Pad_D1.0mm          33.4900    13.6500    33.4900    -273.0700    18.0    top       VIRTUAL
H2            MountingHole        MountingHole_3.2mm_M3_ISO7380 93.8300    68.7100    0.0000     0.0000        0.0    top       VIRTUAL
FID4          Fiducial            Fiducial_1mm_Mask2mm          8.7400     21.1500    0.0000     0.0000        0.0    top       VIRTUAL
TP15          TestPoint           TestPoint_Pad_D1.0mm          12.1600    4.4800     12.1600    -282.2400     0.0    top       VIRTUAL
TP9           TestPoint           TestPoint_Pad_D1.0mm          74.1200    66.2200    74.1200    -220.5000     9.0    top       VIRTUAL
l2            WEEE-Logo_4.2x6mm.. WEEE-Logo_4.2x6mm_SilkScreen  72.5100    41.2200    0.0000     0.0000        0.0    top       VIRTUAL
TP6           TestPoint           TestPoint_Pad_D1.0mm          44.7600    13.1800    44.7600    -273.5400     0.0    top       VIRTUAL
TP4           TestPoint           TestPoint_Pad_D1.0mm          21.7100    11.7450    21.7100    -274.9750     0.0    top       VIRTUAL
TP1           TestPoint           TestPoint_Pad_D1.0mm          9.5600     9.2950     9.5600     -277.4250     0.0    top       VIRTUAL
TP2           TestPoint           TestPoint_Pad_D1.0mm          13.9650    11.0300    13.9650    -275.6900     0.0    top       VIRTUAL
TP10          TestPoint           TestPoint_Pad_D1.0mm          6.1900     50.5600    6.1900     -236.1600     0.0    top       VIRTUAL
H1            MountingHole        MountingHole_3.2mm_M3_ISO7380 93.8300    0.0300     0.0000     0.0000        0.0    top       VIRTUAL
FID1          Fiducial            Fiducial_1mm_Mask2mm          25.4900    43.9000    0.0000     0.0000        0.0    top       VIRTUAL
H3            MountingHole        MountingHole_3.2mm_M3_ISO7380 0.1500     68.7100    0.0000     0.0000        0.0    top       VIRTUAL
TP3           TestPoint           TestPoint_Pad_D1.0mm          23.3200    5.7000     23.3200    -281.0200     0.0    top       VIRTUAL
H4            MountingHole        MountingHole_3.2mm_M3_ISO7380 0.0000     -0.0000    0.0000     0.0000        0.0    top       VIRTUAL
TP5           TestPoint           TestPoint_Pad_D1.0mm          42.4000    10.0400    42.4000    -276.6800     0.0    top       VIRTUAL
FID3          Fiducial            Fiducial_1mm_Mask2mm          4.3500     2.3000     0.0000     0.0000        0.0    top       VIRTUAL
FID5          Fiducial            Fiducial_1mm_Mask2mm          7.7800     45.3900    0.0000     0.0000        0.0    top       VIRTUAL
TP7           TestPoint           TestPoint_Pad_D1.0mm          52.7900    13.3600    52.7900    -273.3600     0.0    top       VIRTUAL
TP12          TestPoint           TestPoint_Pad_D1.0mm          31.0900    18.7000    31.0900    -268.0200     0.0    top       VIRTUAL
TP14          TestPoint           TestPoint_Pad_D1.0mm          26.4000    20.4300    26.4000    -266.2900     0.0    top       VIRTUAL
FID2          Fiducial            Fiducial_1mm_Mask2mm          64.7100    43.8300    0.0000     0.0000        0.0    top       VIRTUAL
l1            ESD-Logo_6.6x6mm_.. ESD-Logo_6.6x6mm_SilkScreen   81.6600    29.5900    0.0000     0.0000        0.0    top       VIRTUAL
## End
